beta_t,beta,best_actor_num,mean-okl/0,mean-bkl/0,mean-okl/1,mean-bkl/1,mean-okl/2,mean-bkl/2,mean-okl/3,mean-bkl/3,return-average/0,episode-length-avg/0,return-average/1,episode-length-avg/1,return-average/2,episode-length-avg/2,return-average/3,episode-length-avg/3,return-average,time-eval,time-total,epoch,avg-path-return/0,total-samples/0,avg-path-return/1,total-samples/1,avg-path-return/2,total-samples/2,avg-path-return/3,total-samples/3
8.0,8.0,2,0.051315915,0.19639884,0.053640243,0.13462299,0.07701863,0.07701863,0.04499463,0.14088306,829.6698941184071,708.3,870.8238029761842,501.3,1137.5582327651346,937.7,2441.790775310322,748.5,1319.9606762925118,38.57535681594163,298142.4570028252,2560,1258.325648657748,641000.0,1871.3095906840038,641000.0,1789.6446470863127,641000.0,926.4133469252544,641000.0
16.0,16.0,1,0.06947423,0.17011473,0.04874108,0.04874108,0.048385438,0.09159738,0.06281653,0.099462084,490.5262287231825,530.6,778.5712140654292,275.1,2591.941578064071,855.7,2358.5512595432433,716.8,1554.8975700989815,42.970258683897555,298601.2309607115,2564,1351.0092069350305,642000.0,1779.233057695701,642000.0,1490.4916452121,642000.0,1120.7623584290407,642000.0
16.0,16.0,1,0.026144141,0.1329827,0.050914116,0.050914116,0.029828586,0.076435,0.02692567,0.07941191,-108.96871302981405,915.9,554.2511632623847,457.5,1118.6128624532796,507.6,3381.368843223575,902.6,1236.3160389773564,28.129825754091144,299065.96396216995,2568,1313.3290649276946,643000.0,1796.3965414493036,643000.0,1090.1316570248275,643000.0,1158.5831209572295,643000.0
32.0,32.0,1,0.04461563,0.07643242,0.05331132,0.05331132,0.050707802,0.05100283,0.049866468,0.054509223,117.11923725853913,948.1,1160.180433802481,552.0,2883.73219100422,933.8,2882.142086305591,823.1,1760.793487092708,33.710978801129386,299545.0707012621,2572,994.9927196051983,644000.0,1410.1057699199678,644000.0,933.0744042793962,644000.0,1534.4509727271543,644000.0
8.0,8.0,3,0.06311657,0.14979737,0.060697716,0.110923454,0.06436154,0.10137595,0.052491162,0.052491162,3.3061690661895455,823.6,1501.946600237131,466.1,2118.51284693747,762.6,2443.5507813233844,839.3,1516.8290993910437,48.72758391010575,300012.752962927,2576,553.6070893031625,645000.0,1366.2328654339037,645000.0,739.7097976424636,645000.0,1659.099015290664,645000.0
16.0,16.0,3,0.070095375,0.100399844,0.058995333,0.0770963,0.07177351,0.07132592,0.077442184,0.077442184,1168.3241340050488,876.7,3072.5490823272016,819.8,1171.6815697971315,493.8,1940.6701742153477,655.7,1838.3062400861822,36.96378370304592,300485.3218526117,2580,301.51697719282527,646000.0,1338.6058980795694,646000.0,904.6713947482061,646000.0,1716.2004833217738,646000.0
16.0,16.0,3,0.049179092,0.09372198,0.052665476,0.07955174,0.055596802,0.07603311,0.034871604,0.034871604,1356.9628716276634,717.5,3364.7563880829607,960.3,2510.974785582667,753.5,1575.5407695443332,656.2,2202.058703709406,42.33879211987369,300961.2008848743,2584,312.77863461987175,647000.0,1282.7491679957548,647000.0,1182.9700585820603,647000.0,1741.9814504090111,647000.0
16.0,16.0,3,0.044870883,0.08723837,0.046886962,0.07635327,0.046612155,0.07707928,0.04888794,0.04888794,2655.356609971159,1000.0,3214.2008403875575,935.6,1239.0039627286887,557.4,841.222946755836,461.5,1987.4460899608102,45.446052215993404,301427.2007830533,2588,591.3587761290989,648000.0,1156.1255533209273,648000.0,1383.7622994239061,648000.0,1593.8988563618996,648000.0
16.0,16.0,2,0.1259886,0.08009105,0.13833378,0.07447782,0.09084703,0.09084703,0.1415707,0.08035801,2780.167724037941,808.5,2062.3230652599013,746.5,1083.9563025063067,599.5,2245.8000240786196,636.5,2043.0617789706923,36.10685470397584,301894.0441930784,2592,724.1077207478295,649000.0,1154.9874175847858,649000.0,1618.061787016229,649000.0,1016.5763274220681,649000.0
8.0,8.0,2,0.05161091,0.11975545,0.07302736,0.12193602,0.10304173,0.10304173,0.0672864,0.12197206,1407.1207968408798,575.6,1016.4013212036405,565.5,1234.0418599215761,825.7,2415.590703421438,695.4,1518.2886703468837,36.7977088149637,302356.4090071324,2596,903.0395340007386,650000.0,1266.5297647589928,650000.0,1538.8790398147312,650000.0,1116.4454716079003,650000.0
